"Метка";"Тип";"Значение";"Корпус";"Количество"
"BAT1, BAT2";"BR2032-1F2";"";"S8421-45R";"2"
"C1";"GRM21BR61E106KA73L";"10uF";"CAP_0805";"1"
"C2";"CL05C101JB5NNNC";"100pF";"CAP_0402";"1"
"C3, C4, C6";"GRM155R61A104KA01J";"100nF";"CAP_0402";"3"
"C5";"VJ0402A100JNAAJ";"10pF";"CAP_0402";"1"
"C7, C9";"CL05C180JB5NNNC";"18pF";"CAP_0402";"2"
"C8";"GRM1555C1H6R2BA01D";"6.2pF";"CAP_0402";"1"
"C10";"CL05C020CB5NNNC";"2pF";"CAP_0402";"1"
"C11";"CL05C270JB5NNNC";"27pF";"CAP_0402";"1"
"D1";"TZ";"MM3Z4V3ST1G";"SOD-323";"1"
"L1";"MLF1005LR56K";"560nH";"IND_0402";"1"
"L2";"MLK1005SR13JT000";"130nH";"IND_0402";"1"
"R1, R3";"RC0402JR-0710KL";"10K";"RES_0402";"2"
"R2, R4, R5";"RC0402JR-07100RL";"100";"RES_0402";"3"
"R6";"CRG0402J1K0";"1K";"RES_0402";"1"
"R7, R8";"RC0402FR-074K7L";"4.7K";"RES_0402";"2"
"SW1";"Reed switch";"MK15-501-D-2";"Reed switch";"1"
"SW2";"SW_PUSH-BUTTON_1";"PTS645SM43SMTR92 LFS";"PTS645SM43SMTR92";"1"
"TP1, TP2, TP3, TP4, TP5, TP6, TP7";"TESTPOINT";"";"Test Point 1.0";"7"
"U1";"MICRF112";"MICRF112";"MSOP-10";"1"
"U2";"PIC12(L)F1571/2";"PIC12LF1572-I/MS";"MSOP-8";"1"
"XS2, XS3";"644456-2";"";"HDR-1x2T/2.54/5x2";"2"
"Y1";"CRYSTAL_2EL";"10.78125MHz";"HC-49";"1"
